time,machines_busy,available_machines,queue_length,queue_full,machine_utilization,system_pressure,over_capacity_pressure,machines_down
0.0,0,10,0,False,0.0,0,False,0
1.0,0,10,0,False,0.0,0,False,0
2.0,2,8,0,False,0.2,2,False,0
3.0,3,7,0,False,0.3,3,False,0
4.0,5,5,0,False,0.5,5,False,0
5.0,10,0,0,False,1.0,10,False,0
6.0,9,1,0,False,0.9,9,False,0
7.0,10,0,2,False,1.0,12,True,0
8.0,10,0,0,False,1.0,10,False,0
9.0,10,0,1,False,1.0,11,True,0
10.0,10,0,1,False,1.0,11,True,0
11.0,10,0,2,False,1.0,12,True,0
12.0,9,1,0,False,0.9,9,False,0
13.0,10,0,1,False,1.0,11,True,0
14.0,10,0,0,False,1.0,10,False,0
15.0,10,0,0,False,1.0,10,False,0
16.0,10,0,1,False,1.0,11,True,0
17.0,6,4,0,False,0.6,6,False,0
18.0,6,4,0,False,0.6,6,False,0
19.0,5,5,0,False,0.5,5,False,0
20.0,5,5,0,False,0.5,5,False,0
21.0,9,1,0,False,0.9,9,False,0
22.0,10,0,0,False,1.0,10,False,0
23.0,9,1,0,False,0.9,9,False,0
24.0,7,3,0,False,0.7,7,False,0
25.0,8,2,0,False,0.8,8,False,0
26.0,8,2,0,False,0.8,8,False,0
27.0,7,3,0,False,0.7,7,False,0
28.0,7,3,0,False,0.7,7,False,0
29.0,9,1,0,False,0.9,9,False,0
30.0,9,1,0,False,0.9,9,False,0
31.0,7,3,0,False,0.7,7,False,0
32.0,7,3,0,False,0.7,7,False,0
33.0,7,3,0,False,0.7,7,False,0
34.0,7,3,0,False,0.7,7,False,0
35.0,7,3,0,False,0.7,7,False,0
36.0,9,1,0,False,0.9,9,False,0
37.0,10,0,0,False,1.0,10,False,0
38.0,10,0,0,False,1.0,10,False,1
39.0,10,0,1,False,1.0,11,True,1
40.0,10,0,0,False,1.0,10,False,1
41.0,8,2,0,False,0.8,8,False,1
42.0,9,1,0,False,0.9,9,False,1
43.0,10,0,2,False,1.0,12,True,1
44.0,10,0,2,False,1.0,12,True,0
45.0,10,0,1,False,1.0,11,True,0
46.0,8,2,0,False,0.8,8,False,0
47.0,8,2,0,False,0.8,8,False,0
48.0,9,1,0,False,0.9,9,False,0
49.0,10,0,0,False,1.0,10,False,0
50.0,8,2,0,False,0.8,8,False,0
51.0,6,4,0,False,0.6,6,False,0
52.0,6,4,0,False,0.6,6,False,0
53.0,3,7,0,False,0.3,3,False,0
54.0,4,6,0,False,0.4,4,False,0
55.0,6,4,0,False,0.6,6,False,0
56.0,4,6,0,False,0.4,4,False,0
57.0,7,3,0,False,0.7,7,False,0
58.0,6,4,0,False,0.6,6,False,0
59.0,9,1,0,False,0.9,9,False,0
60.0,10,0,0,False,1.0,10,False,0
61.0,8,2,0,False,0.8,8,False,0
62.0,9,1,0,False,0.9,9,False,0
63.0,7,3,0,False,0.7,7,False,0
64.0,6,4,0,False,0.6,6,False,0
65.0,4,6,0,False,0.4,4,False,0
66.0,5,5,0,False,0.5,5,False,0
67.0,4,6,0,False,0.4,4,False,0
68.0,5,5,0,False,0.5,5,False,0
69.0,8,2,0,False,0.8,8,False,0
70.0,10,0,1,False,1.0,11,True,0
71.0,10,0,1,False,1.0,11,True,0
72.0,10,0,0,False,1.0,10,False,0
73.0,9,1,0,False,0.9,9,False,0
74.0,10,0,1,False,1.0,11,True,0
75.0,8,2,0,False,0.8,8,False,0
76.0,5,5,0,False,0.5,5,False,0
77.0,6,4,0,False,0.6,6,False,0
78.0,4,6,0,False,0.4,4,False,0
79.0,5,5,0,False,0.5,5,False,1
80.0,6,4,0,False,0.6,6,False,1
81.0,5,5,0,False,0.5,5,False,0
82.0,10,0,0,False,1.0,10,False,0
83.0,8,2,0,False,0.8,8,False,0
84.0,4,6,0,False,0.4,4,False,0
85.0,6,4,0,False,0.6,6,False,0
86.0,7,3,0,False,0.7,7,False,0
87.0,6,4,0,False,0.6,6,False,0
88.0,5,5,0,False,0.5,5,False,0
89.0,7,3,0,False,0.7,7,False,0
90.0,10,0,1,False,1.0,11,True,0
91.0,10,0,0,False,1.0,10,False,0
92.0,10,0,2,False,1.0,12,True,0
93.0,10,0,2,False,1.0,12,True,0
94.0,10,0,1,False,1.0,11,True,0
95.0,9,1,0,False,0.9,9,False,0
96.0,8,2,0,False,0.8,8,False,0
97.0,10,0,0,False,1.0,10,False,0
98.0,10,0,1,False,1.0,11,True,0
99.0,9,1,0,False,0.9,9,False,0
100.0,8,2,0,False,0.8,8,False,0
101.0,6,4,0,False,0.6,6,False,0
102.0,5,5,0,False,0.5,5,False,0
103.0,7,3,0,False,0.7,7,False,0
104.0,7,3,0,False,0.7,7,False,0
105.0,7,3,0,False,0.7,7,False,0
106.0,7,3,0,False,0.7,7,False,0
107.0,7,3,0,False,0.7,7,False,0
108.0,5,5,0,False,0.5,5,False,0
109.0,4,6,0,False,0.4,4,False,0
110.0,7,3,0,False,0.7,7,False,1
111.0,8,2,0,False,0.8,8,False,1
112.0,6,4,0,False,0.6,6,False,1
113.0,4,6,0,False,0.4,4,False,1
114.0,7,3,0,False,0.7,7,False,0
115.0,8,2,0,False,0.8,8,False,0
116.0,8,2,0,False,0.8,8,False,0
117.0,7,3,0,False,0.7,7,False,0
118.0,5,5,0,False,0.5,5,False,0
119.0,6,4,0,False,0.6,6,False,0
120.0,7,3,0,False,0.7,7,False,0
121.0,8,2,0,False,0.8,8,False,0
122.0,5,5,0,False,0.5,5,False,0
123.0,3,7,0,False,0.3,3,False,0
124.0,5,5,0,False,0.5,5,False,0
125.0,3,7,0,False,0.3,3,False,0
126.0,5,5,0,False,0.5,5,False,0
127.0,4,6,0,False,0.4,4,False,0
128.0,7,3,0,False,0.7,7,False,0
129.0,8,2,0,False,0.8,8,False,0
